date,stock,gold
2011-12-13,4281.93,339.66
2011-12-14,4239.162,337.53
2011-12-15,4178.679,322.33
2011-12-16,4264.568,328.7
2011-12-19,4257.256,328.39
2011-12-20,4246.058,329.7
2011-12-21,4197.799,334.48
2011-12-22,4176.102,331.51
2011-12-23,4200.805,330.92
2011-12-26,4181.817,327.35
2011-12-27,4118.64,326.23
2011-12-28,4094.417,324.18
2011-12-29,4097.399,316.0
2011-12-30,4152.94,319.45
2012-01-04,4071.419,327.3
2012-01-05,4012.136,331.95
2012-01-06,4037.89,333.41
2012-01-09,4167.24,330.3
2012-01-10,4289.619,332.2
2012-01-11,4258.976,336.2
2012-01-12,4255.451,336.98
2012-01-13,4169.97,336.65
2012-01-16,4102.604,335.15
2012-01-17,4272.374,339.77
2012-01-18,4192.725,338.65
2012-01-19,4254.819,340.68
2012-01-20,4315.56,339.57
2012-01-30,4243.867,353.21
2012-01-31,4244.485,355.02
2012-02-01,4206.523,354.07
2012-02-02,4282.76,356.84
2012-02-03,4317.477,358.58
2012-02-06,4321.368,353.33
2012-02-07,4245.634,352.63
2012-02-08,4345.598,357.66
2012-02-09,4366.953,355.09
2012-02-10,4369.089,353.1
2012-02-13,4366.559,352.56
2012-02-14,4359.38,350.3
2012-02-15,4406.193,352.18
2012-02-16,4388.087,350.81
2012-02-17,4384.716,353.34
2012-02-20,4380.811,353.73
2012-02-21,4408.126,355.59
2012-02-22,4478.582,358.22
2012-02-23,4503.185,362.49
2012-02-24,4583.537,362.23
2012-02-27,4589.901,360.9
2012-02-28,4608.319,361.85
2012-02-29,4540.059,364.75
2012-03-01,4554.23,349.83
2012-03-02,4638.324,350.49
2012-03-05,4637.719,348.82
2012-03-06,4575.664,346.76
2012-03-07,4548.948,341.28
2012-03-08,4592.338,344.61
2012-03-09,4639.303,347.67
2012-03-12,4629.039,347.96
2012-03-13,4679.011,347.55
2012-03-14,4531.356,341.39
2012-03-15,4494.661,337.36
2012-03-16,4581.325,340.7
2012-03-19,4599.606,340.92
2012-03-20,4522.043,338.52
2012-03-21,4521.853,338.6
2012-03-22,4530.319,337.99
2012-03-23,4460.72,337.21
2012-03-26,4467.357,340.78
2012-03-27,4441.02,345.84
2012-03-28,4325.717,342.39
2012-03-29,4281.435,339.97
2012-03-30,4305.674,340.2
2012-04-05,4406.59,333.18
2012-04-06,4416.87,334.4
2012-04-09,4374.704,336.42
2012-04-10,4406.198,337.61
2012-04-11,4412.862,339.78
2012-04-12,4500.317,339.4
2012-04-13,4503.279,342.62
2012-04-16,4497.815,335.8
2012-04-17,4440.522,336.3
2012-04-18,4531.186,338.46
2012-04-19,4509.536,335.99
2012-04-20,4555.374,336.3
2012-04-23,4531.431,335.91
2012-04-24,4538.103,335.05
2012-04-25,4603.39,336.2
2012-04-26,4572.506,338.03
2012-04-27,4568.746,338.22
2012-05-02,4639.086,338.15
2012-05-03,4628.365,335.93
2012-05-04,4667.338,334.56
2012-05-07,4674.558,335.3
2012-05-08,4643.712,333.59
2012-05-09,4555.727,325.91
2012-05-10,4550.663,326.4
2012-05-11,4530.691,324.16
2012-05-14,4508.588,322.89
2012-05-15,4511.62,318.91
2012-05-16,4445.627,313.97
2012-05-17,4504.101,318.34
2012-05-18,4453.323,323.19
2012-05-21,4452.259,327.53
2012-05-22,4515.054,325.26
2012-05-23,4509.954,320.02
2012-05-24,4457.654,321.4
2012-05-25,4427.306,321.74
2012-05-28,4495.451,326.3
2012-05-29,4537.619,325.5
2012-05-30,4539.346,319.86
2012-05-31,4523.261,323.0
2012-06-01,4525.215,322.63
2012-06-04,4393.665,335.67
2012-06-05,4411.153,334.36
2012-06-06,4383.691,336.35
2012-06-07,4367.834,334.7
2012-06-08,4356.839,324.93
2012-06-11,4406.465,329.85
2012-06-12,4385.004,328.34
2012-06-13,4443.851,332.6
2012-06-14,4416.172,333.61
2012-06-15,4427.773,335.26
2012-06-18,4455.652,333.5
2012-06-19,4417.903,335.5
2012-06-20,4413.116,333.49
2012-06-21,4358.58,330.14
2012-06-25,4256.966,325.12
2012-06-26,4261.213,326.9
2012-06-27,4246.941,324.34
2012-06-28,4209.666,325.39
2012-06-29,4251.161,324.51
2012-07-02,4272.917,328.1
2012-07-03,4280.657,331.73
2012-07-04,4272.517,333.3
2012-07-05,4216.407,333.8
2012-07-06,4282.838,330.59
2012-07-09,4188.096,326.9
2012-07-10,4158.45,327.3
2012-07-11,4191.803,326.1
2012-07-12,4222.952,324.7
2012-07-13,4211.976,326.45
2012-07-16,4107.061,328.82
2012-07-17,4135.737,329.64
2012-07-18,4147.695,327.13
2012-07-19,4164.414,326.95
2012-07-20,4129.506,327.5
2012-07-23,4067.736,326.15
2012-07-24,4090.534,326.5
2012-07-25,4045.301,327.49
2012-07-26,4015.943,332.88
2012-07-27,4005.776,335.3
2012-07-30,3982.946,334.45
2012-07-31,3974.245,335.58
2012-08-01,4024.061,334.12
2012-08-02,3979.88,331.48
2012-08-03,4018.222,329.85
2012-08-06,4071.362,332.9
2012-08-07,4076.875,333.68
