date,open,high,low,close,volume,amount
2014-02-10,2237.88,2294.36,2237.88,2293.5,21149771.0,16263384576.0
2014-02-11,2296.89,2317.26,2285.54,2309.5,31857458.0,23133065472.0
2014-02-12,2311.0,2325.1,2305.75,2322.9,25198888.0,18346183168.0
2014-02-13,2321.03,2333.23,2305.19,2306.39,33529385.0,23220240384.0
2014-02-14,2305.83,2332.78,2302.26,2331.39,21093097.0,15130687488.0
2014-02-17,2343.9,2363.5,2333.72,2363.46,25070219.0,18969416192.0
2014-02-18,2364.81,2366.33,2352.24,2359.61,25382902.0,19613891072.0
2014-02-19,2362.07,2389.8,2352.71,2375.03,31986528.0,22301705472.0
2014-02-20,2382.7,2399.26,2362.53,2367.49,32529266.0,22256504576.0
2014-02-21,2363.84,2363.84,2321.57,2338.2,23148044.0,16230896128.0
2014-02-24,2325.63,2325.63,2283.12,2308.62,25363156.0,18430405888.0
2014-02-25,2309.68,2323.6,2233.74,2244.06,25780875.0,19702345472.0
2014-02-26,2235.05,2256.23,2211.1,2255.98,20973262.0,15606205952.0
2014-02-27,2256.98,2292.78,2252.29,2259.42,29978757.0,21206995712.0
2014-02-28,2253.18,2278.46,2231.05,2276.91,22982803.0,16817412608.0
2014-03-03,2275.31,2306.9,2268.77,2306.77,26147891.0,18318893312.0
2014-03-04,2294.21,2299.68,2273.63,2293.36,22008918.0,16003344128.0
2014-03-05,2294.14,2298.71,2273.0,2277.64,19155736.0,13931267072.0
2014-03-06,2272.14,2282.2,2245.2,2276.16,21951749.0,15051539712.0
2014-03-07,2275.93,2290.71,2256.9,2266.78,20691533.0,14503882752.0
2014-03-10,2248.93,2248.93,2180.56,2183.05,23066275.0,15829795328.0
2014-03-11,2176.76,2193.85,2168.67,2186.9,17958353.0,12571513856.0
2014-03-12,2187.68,2208.16,2168.56,2199.33,22245664.0,15116792832.0
2014-03-13,2204.77,2240.92,2204.64,2236.44,27460388.0,17394824704.0
2014-03-14,2231.02,2241.01,2209.84,2227.85,21481747.0,14108193280.0
2014-03-17,2229.34,2262.39,2223.4,2260.83,18112110.0,11931871232.0
2014-03-18,2263.95,2286.15,2259.92,2272.47,20174364.0,14923272704.0
2014-03-19,2265.21,2265.21,2238.27,2262.61,17665677.0,12989771264.0
2014-03-20,2258.37,2273.05,2215.04,2216.31,22654099.0,15052423680.0
2014-03-21,2207.15,2274.3,2199.8,2269.93,40784027.0,26699916288.0
2014-03-24,2273.79,2297.71,2266.61,2289.06,36646805.0,24820639744.0
2014-03-25,2287.94,2311.96,2283.13,2293.29,26363011.0,17777711616.0
2014-03-26,2301.35,2310.28,2288.86,2297.36,21887495.0,14745727488.0
2014-03-27,2290.89,2300.2,2267.34,2267.34,26756812.0,18534845184.0
2014-03-28,2266.68,2278.93,2240.08,2245.66,25857834.0,17537506304.0
2014-03-31,2247.48,2259.36,2231.13,2244.32,19804736.0,12759441920.0
2014-04-01,2240.95,2277.06,2239.98,2276.69,16727954.0,11470973952.0
2014-04-02,2280.96,2299.24,2278.09,2295.76,23038718.0,15226254848.0
