w_stock,w_bond,w_gold,w_cash,entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,version,version_label
0.3,0.1,0.3,0.3,5897,1.965364049211611,1.617507870715023,0.0964905926846367,0.0855929640588399,0.0772447892356707,0.1619460126181183,1.3986106060854633,0.136056926951671,0.1964357806261548,1.5031067920722143,0.7091927977978758,5.653568632010712,-0.0350664095875611,0,0.9867729353908768,0.9902995234853642,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
0.25,0.25,0.4,0.1,5897,2.129692350107433,1.5993906398914035,0.0985773181880166,0.0895226162935758,0.0759274349038805,0.1746931414038131,1.6830220092689656,0.171581212791238,0.1976977108949883,1.3262849747680774,0.574522796432003,6.810697552779499,-0.0625987642802224,0,0.9843988468712904,0.9879169503063308,0.9933150497086048,1.0,1.0,1.0,sp500,标普500
0.25,0.2,0.4,0.15,5897,2.1250517389656878,1.6280236708814235,0.09967234912568,0.0891524666071628,0.0761470976277797,0.1767876287771572,1.6408031814724573,0.1617700154267135,0.1981397194029853,1.3419661346718357,0.6161361168370196,6.6717609775627125,-0.0603497593314805,0,0.9849075801254876,0.988427501701838,0.9934864586904354,1.0,1.0,1.0,sp500,标普500
0.25,0.15,0.4,0.2,5897,2.1177865608259934,1.6561792617131896,0.1006797045064881,0.088632653597436,0.0765326417644565,0.1787762738083829,1.596720482183298,0.1525928496814089,0.1989718611937616,1.355399866779625,0.6597930683953562,6.525769830230117,-0.0581007543827405,0,0.9849075801254876,0.988427501701838,0.9934864586904354,1.0,1.0,1.0,sp500,标普500
0.25,0.1,0.4,0.25,5897,2.110430308435641,1.6852877889648492,0.1017025793249562,0.0883176516036601,0.0768083074083449,0.1808816280823636,1.5521972220669686,0.143907044204063,0.1998033825221311,1.3671234505378358,0.7067241210287104,6.378418987072941,-0.0570795034265745,0,0.9850771578768864,0.9885976855003404,0.993657867672266,1.0,1.0,1.0,sp500,标普500
0.3,0.2,0.35,0.15,5897,2.259363036769288,1.7900813222178251,0.1024303278088107,0.0917460642166976,0.0822536266218116,0.1721212648385877,1.7190359641080233,0.1630235925589472,0.2008721464391576,1.4924811488432814,0.628315976853309,6.915014830114487,-0.0474842528178208,0,0.9854163133796846,0.9889380530973452,0.9938292766540968,1.0,1.0,1.0,sp500,标普500
0.25,0.05,0.4,0.3,5897,2.131526353990136,1.710582603506451,0.1030264538062485,0.0887034721899433,0.0772605818048573,0.1827753173589633,1.5473691410401564,0.1366230995345347,0.2020282423404911,1.384883006510119,0.7540924935625999,6.358620090783789,-0.0561897139116706,0,0.9850771578768864,0.9885976855003404,0.993657867672266,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.2,0.3,0.15,5897,2.2932442225418987,1.8258884568434897,0.1030598402120186,0.0930245037831298,0.0849458033312705,0.1674428980482952,1.7195629692804395,0.1683071543366117,0.2107255621375846,1.6068105785744635,0.6123319036450496,6.893918941074239,-0.0346187463041599,0,0.9871120908936748,0.9906398910823688,0.9950291395269112,1.0,1.0,1.0,sp500,标普500
0.3,0.05,0.35,0.3,5897,2.1714748949760003,1.782893280114605,0.103755262687252,0.0908006396816367,0.0806093645236966,0.17815461729792,1.5549440618915622,0.1386478288666686,0.2138819815026777,1.4930420361303487,0.7483367286409426,6.344827926907338,-0.0437490957394222,0,0.9860946243852806,0.9896187882913546,0.9945149125814192,1.0,1.0,1.0,sp500,标普500
0.3,0.25,0.4,0.05,5897,2.4878213074937965,1.9041636588624868,0.1076530417966,0.096638295792887,0.0851326612451817,0.1845836242776218,1.9721560625527328,0.1819424503532892,0.2146802071010572,1.4572858000474245,0.5916873252369816,7.985835888968795,-0.0590378839767244,0,0.9850771578768864,0.9885976855003404,0.993657867672266,1.0,1.0,1.0,sp500,标普500
0.3,0.2,0.4,0.1,5897,2.474805880074198,1.93173536583188,0.1086196163086026,0.0965009263512863,0.0853048901487568,0.1868117336831949,1.9192811472220128,0.171074376305484,0.2155058445570164,1.4695003726375104,0.6349262739069865,7.80344730524207,-0.056788879027983,0,0.9850771578768864,0.9885976855003404,0.993657867672266,1.0,1.0,1.0,sp500,标普500
